unique_larva_id,treatment,observation_date,status,mass
FCT 5/11/2021 6,frass,7/14/2021,larva,3044
FCT 5/11/2021 6,frass,7/20/2021,larva,3111
FCT 5/11/2021 6,frass,7/28/2021,larva,2926
FCT 5/11/2021 6,frass,7/6/2021,larva,2636
FCT 5/11/2021 6,frass,8/10/2021,larva,4793
FCT 5/11/2021 6,frass,8/4/2021,larva,3258
FCT 5/11/2021 7,frass,5/11/2021,egg,10
FCT 5/11/2021 7,frass,5/24/2021,larva,145
FCT 5/11/2021 7,frass,6/15/2021,larva,1141
FCT 5/11/2021 7,frass,6/2/2021,larva,441
FCT 5/11/2021 7,frass,6/22/2021,larva,1879
FCT 5/11/2021 7,frass,6/29/2021,larva,2195
FCT 5/11/2021 7,frass,6/9/2021,larva,457
FCT 5/11/2021 7,frass,7/14/2021,larva,3289
FCT 5/11/2021 7,frass,7/20/2021,larva,3401
FCT 5/11/2021 7,frass,7/28/2021,larva,2985
FCT 5/11/2021 7,frass,7/6/2021,larva,2858
FCT 5/11/2021 7,frass,8/10/2021,larva,5349
FCT 5/11/2021 7,frass,8/4/2021,larva,3218
FCT 5/11/2021 8,frass,5/11/2021,egg,10
FCT 5/11/2021 8,frass,5/24/2021,larva,175
FCT 5/11/2021 8,frass,6/15/2021,larva,1356
FCT 5/11/2021 8,frass,6/2/2021,larva,409
FCT 5/11/2021 8,frass,6/22/2021,larva,1984
FCT 5/11/2021 8,frass,6/29/2021,larva,2121
FCT 5/11/2021 8,frass,6/9/2021,larva,658
FCT 5/11/2021 8,frass,7/14/2021,larva,3272
FCT 5/11/2021 8,frass,7/20/2021,larva,3171
FCT 5/11/2021 8,frass,7/28/2021,larva,3786
FCT 5/11/2021 8,frass,7/6/2021,larva,2752
FCT 5/11/2021 8,frass,8/10/2021,larva,6109
FCT 5/11/2021 8,frass,8/4/2021,larva,6213
FCT 5/12/2021 1,frass,5/12/2021,egg,10
FCT 5/12/2021 1,frass,5/24/2021,larva,135
FCT 5/12/2021 1,frass,6/15/2021,larva,1311
FCT 5/12/2021 1,frass,6/2/2021,larva,377
FCT 5/12/2021 1,frass,6/22/2021,larva,1782
FCT 5/12/2021 1,frass,6/29/2021,larva,2951
FCT 5/12/2021 1,frass,6/9/2021,larva,460
FCT 5/12/2021 1,frass,7/14/2021,larva,3566
FCT 5/12/2021 1,frass,7/20/2021,larva,5013
FCT 5/12/2021 1,frass,7/28/2021,larva,6013
FCT 5/12/2021 1,frass,7/6/2021,larva,3436
FCT 5/12/2021 1,frass,8/10/2021,larva,7110
FCT 5/12/2021 1,frass,8/4/2021,larva,7592
FCT 5/12/2021 2,frass,5/12/2021,egg,10
FCT 5/12/2021 2,frass,5/24/2021,larva,191
FCT 5/12/2021 2,frass,6/15/2021,larva,1225
FCT 5/12/2021 2,frass,6/2/2021,larva,439
FCT 5/12/2021 2,frass,6/22/2021,larva,1720
FCT 5/12/2021 2,frass,6/29/2021,larva,1877
FCT 5/12/2021 2,frass,6/9/2021,larva,670
FCT 5/12/2021 2,frass,7/14/2021,larva,3180
FCT 5/12/2021 2,frass,7/20/2021,larva,3175
FCT 5/12/2021 2,frass,7/28/2021,larva,4277
FCT 5/12/2021 2,frass,7/6/2021,larva,2455
FCT 5/12/2021 2,frass,8/10/2021,larva,4780
FCT 5/12/2021 2,frass,8/4/2021,larva,5097
FCT 5/12/2021 3,frass,5/12/2021,egg,10
FCT 5/12/2021 3,frass,5/24/2021,larva,157
FCT 5/12/2021 3,frass,6/15/2021,larva,1134
FCT 5/12/2021 3,frass,6/2/2021,larva,416
FCT 5/12/2021 3,frass,6/22/2021,larva,1785
FCT 5/12/2021 3,frass,6/29/2021,larva,2247
FCT 5/12/2021 3,frass,6/9/2021,larva,600
FCT 5/12/2021 3,frass,7/14/2021,larva,3624
FCT 5/12/2021 3,frass,7/20/2021,larva,3132
FCT 5/12/2021 3,frass,7/28/2021,larva,4390
FCT 5/12/2021 3,frass,7/6/2021,larva,2741
FCT 5/12/2021 3,frass,8/10/2021,larva,5268
FCT 5/12/2021 3,frass,8/4/2021,larva,5289
FCT 5/12/2021 4,frass,5/12/2021,egg,10
FCT 5/12/2021 4,frass,5/24/2021,larva,90
FCT 5/12/2021 4,frass,6/15/2021,larva,1501
FCT 5/12/2021 4,frass,6/2/2021,larva,392
FCT 5/12/2021 4,frass,6/22/2021,larva,2241
FCT 5/12/2021 4,frass,6/29/2021,larva,2577
FCT 5/12/2021 4,frass,6/9/2021,larva,539
FCT 5/12/2021 4,frass,7/14/2021,dead,1264
FCT 5/12/2021 4,frass,7/6/2021,larva,1965
FCT 5/12/2021 5,frass,5/12/2021,egg,10
FCT 5/12/2021 5,frass,5/24/2021,larva,111
FCT 5/12/2021 5,frass,6/15/2021,larva,1301
FCT 5/12/2021 5,frass,6/2/2021,larva,451
FCT 5/12/2021 5,frass,6/22/2021,larva,2033
FCT 5/12/2021 5,frass,6/29/2021,larva,3141
FCT 5/12/2021 5,frass,6/9/2021,larva,511
FCT 5/12/2021 5,frass,7/14/2021,larva,3982
FCT 5/12/2021 5,frass,7/20/2021,larva,3288
FCT 5/12/2021 5,frass,7/28/2021,larva,4698
FCT 5/12/2021 5,frass,7/6/2021,larva,3362
FCT 5/12/2021 5,frass,8/10/2021,larva,6343
FCT 5/12/2021 5,frass,8/4/2021,larva,6467
FCT 5/12/2021 6,frass,5/12/2021,egg,10
FCT 5/12/2021 6,frass,5/24/2021,larva,89
FCT 5/12/2021 6,frass,6/15/2021,larva,712
FCT 5/12/2021 6,frass,6/2/2021,larva,330
FCT 5/12/2021 6,frass,6/22/2021,larva,1607
FCT 5/12/2021 6,frass,6/29/2021,larva,2612
FCT 5/12/2021 6,frass,6/9/2021,larva,443
FCT 5/12/2021 6,frass,7/14/2021,larva,3694
FCT 5/12/2021 6,frass,7/20/2021,larva,3959
FCT 5/12/2021 6,frass,7/28/2021,larva,5434
FCT 5/12/2021 6,frass,7/6/2021,larva,3314
FCT 5/12/2021 6,frass,8/10/2021,larva,6237
FCT 5/12/2021 6,frass,8/4/2021,larva,6523
FCT 5/12/2021 7,frass,5/12/2021,egg,10
FCT 5/12/2021 7,frass,5/24/2021,larva,145
FCT 5/12/2021 7,frass,6/15/2021,larva,1386
FCT 5/12/2021 7,frass,6/2/2021,larva,417
FCT 5/12/2021 7,frass,6/22/2021,larva,2022
FCT 5/12/2021 7,frass,6/29/2021,larva,2454
FCT 5/12/2021 7,frass,6/9/2021,larva,482
FCT 5/12/2021 7,frass,7/14/2021,larva,3780
FCT 5/12/2021 7,frass,7/20/2021,larva,3339
FCT 5/12/2021 7,frass,7/28/2021,larva,4846
FCT 5/12/2021 7,frass,7/6/2021,larva,3022
FCT 5/12/2021 7,frass,8/10/2021,larva,6166
FCT 5/12/2021 7,frass,8/4/2021,larva,6519
FCT 5/13/2021 1,frass,5/13/2021,egg,10
FCT 5/13/2021 1,frass,5/24/2021,egg,0
FCT 5/13/2021 1,frass,EGG,egg,EGG
FCT 5/13/2021 1,frass,EGG,egg,EGG
FCT 5/13/2021 1,frass,EGG,egg,EGG
FCT 5/13/2021 1,frass,EGG,egg,EGG
